index,validMoves,uniqueValidMoves,coverageRatio,twoCellMoves,threeCellMoves,fourPlusMoves,occupiedRegions,spatialDistributionScore,maxCellParticipationRatio,overlapScore,largestMove,averageArea,scorePotential,progress0ClearedRatio,progress0ValidMoves,progress0HasMove,progress1ClearedRatio,progress1ValidMoves,progress1HasMove,progress2ClearedRatio,progress2ValidMoves,progress2HasMove,progress3ClearedRatio,progress3ValidMoves,progress3HasMove
0,44,44,0.5117647058823529,25,11,8,9,99.10243809547283,0.06818181818181818,81.81818181818181,5,2.6363636363636362,87,0.10588235294117647,46,true,0.24705882352941178,40,true,0.5058823529411764,11,true,0.5941176470588235,0,false
1,40,40,0.45294117647058824,24,9,7,9,94.69023701485992,0.075,80,4,2.575,77,0.10588235294117647,35,true,0.2529411764705882,25,true,0.5117647058823529,3,true,0.5705882352941176,0,false
2,45,45,0.47058823529411764,27,11,7,9,95.85208292079498,0.08888888888888889,73.33333333333333,4,2.5555555555555554,80,0.10588235294117647,44,true,0.24705882352941178,34,true,0.5058823529411764,8,true,0.611764705882353,0,false
3,50,50,0.5117647058823529,31,14,5,9,97.29102646689343,0.08,76,5,2.5,87,0.11176470588235295,47,true,0.24705882352941178,33,true,0.5058823529411764,13,true,0.5764705882352941,0,false
4,50,50,0.5352941176470588,31,12,7,9,93.62136141921101,0.08,76,4,2.52,91,0.10588235294117647,45,true,0.2529411764705882,39,true,0.5,14,true,0.6294117647058823,0,false
5,45,45,0.5235294117647059,25,15,5,9,97.18414004379073,0.08888888888888889,73.33333333333333,4,2.5555555555555554,89,0.1,40,true,0.25882352941176473,32,true,0.5058823529411764,8,true,0.5764705882352941,0,false
6,50,50,0.5117647058823529,31,15,4,9,94.72634019550145,0.08,76,4,2.46,87,0.1,46,true,0.24705882352941178,38,true,0.5058823529411764,12,true,0.5823529411764706,0,false
7,50,50,0.5176470588235295,29,18,3,9,96.42797735724275,0.08,76,4,2.48,88,0.10588235294117647,47,true,0.24705882352941178,37,true,0.5058823529411764,12,true,0.611764705882353,0,false
8,43,43,0.49411764705882355,23,18,2,8,90.30406114344399,0.06976744186046512,81.3953488372093,4,2.511627906976744,84,0.1,47,true,0.24705882352941178,40,true,0.5,10,true,0.5411764705882353,0,false
9,50,50,0.5352941176470588,31,12,7,9,93.82668360137271,0.1,68,4,2.52,91,0.1,45,true,0.24705882352941178,41,true,0.5117647058823529,10,true,0.5764705882352941,0,false
10,48,48,0.5,28,16,4,8,91.0868169826341,0.08333333333333333,75,4,2.5,85,0.11176470588235295,47,true,0.2529411764705882,39,true,0.5,16,true,0.6823529411764706,0,false
11,46,46,0.5176470588235295,23,13,10,9,94.11277799793028,0.08695652173913043,73.91304347826087,5,2.739130434782609,88,0.10588235294117647,47,true,0.24705882352941178,40,true,0.5,19,true,0.6647058823529411,0,false
12,43,43,0.4647058823529412,22,14,7,8,90.69452893535738,0.09302325581395349,72.09302325581396,5,2.6744186046511627,79,0.1,37,true,0.24705882352941178,29,true,0.5117647058823529,5,true,0.5352941176470588,0,false
13,46,46,0.5294117647058824,26,11,9,9,94.6591710388899,0.08695652173913043,73.91304347826087,4,2.630434782608696,90,0.1,45,true,0.2529411764705882,39,true,0.5058823529411764,14,true,0.6352941176470588,0,false
14,48,48,0.5176470588235295,28,12,8,9,97.44692802558922,0.08333333333333333,75,4,2.5833333333333335,88,0.1,47,true,0.25882352941176473,34,true,0.5117647058823529,11,true,0.6,0,false
15,50,50,0.5529411764705883,30,18,2,9,98.6789021669298,0.08,76,5,2.46,94,0.10588235294117647,47,true,0.24705882352941178,38,true,0.5117647058823529,16,true,0.5941176470588235,0,false
16,50,50,0.5117647058823529,31,10,9,9,95.7991754133042,0.08,76,4,2.56,87,0.10588235294117647,48,true,0.2529411764705882,36,true,0.5,19,true,0.6294117647058823,0,false
17,48,48,0.5176470588235295,28,14,6,9,96.60111642830024,0.08333333333333333,75,5,2.5625,88,0.11176470588235295,43,true,0.25882352941176473,34,true,0.49411764705882355,0,false,0.49411764705882355,0,false
18,49,49,0.5117647058823529,26,13,10,9,95.88842897460789,0.08163265306122448,75.51020408163265,6,2.7142857142857144,87,0.10588235294117647,44,true,0.24705882352941178,36,true,0.5,11,true,0.6352941176470588,0,false
19,43,43,0.4823529411764706,24,17,2,9,96.13072939629967,0.06976744186046512,81.3953488372093,4,2.488372093023256,82,0.1,43,true,0.2647058823529412,32,true,0.5117647058823529,12,true,0.6176470588235294,0,false
20,49,49,0.5352941176470588,26,19,4,9,95.48335244762227,0.061224489795918366,83.6734693877551,4,2.5510204081632653,91,0.10588235294117647,48,true,0.25882352941176473,44,true,0.5117647058823529,14,true,0.6,0,false
21,50,50,0.5176470588235295,29,18,3,9,96.14508043349686,0.08,76,4,2.48,88,0.1,51,true,0.25882352941176473,41,true,0.5117647058823529,15,true,0.6058823529411764,0,false
22,46,46,0.5,27,17,2,9,97.16333428561448,0.06521739130434782,82.6086956521739,6,2.5,85,0.10588235294117647,43,true,0.25882352941176473,37,true,0.5058823529411764,11,true,0.6058823529411764,0,false
23,44,44,0.4823529411764706,25,14,5,9,91.67871326787804,0.09090909090909091,72.72727272727273,4,2.5454545454545454,82,0.1,43,true,0.24705882352941178,38,true,0.5,14,true,0.6058823529411764,0,false
24,48,48,0.5470588235294118,22,17,9,9,96.55833370906232,0.10416666666666667,66.66666666666666,4,2.7291666666666665,93,0.11176470588235295,47,true,0.2529411764705882,38,true,0.5058823529411764,26,true,0.7058823529411765,0,false
25,45,45,0.48823529411764705,26,15,4,9,97.24100018780801,0.08888888888888889,73.33333333333333,5,2.533333333333333,83,0.1,45,true,0.24705882352941178,37,true,0.5,10,true,0.6764705882352942,0,false
26,47,47,0.5294117647058824,24,19,4,9,97.77101280254708,0.0851063829787234,74.46808510638297,5,2.595744680851064,90,0.1,50,true,0.25882352941176473,47,true,0.5176470588235295,18,true,0.6764705882352942,0,false
27,47,47,0.5294117647058824,22,20,5,9,95.24835087762821,0.0851063829787234,74.46808510638297,4,2.6382978723404253,90,0.10588235294117647,49,true,0.2529411764705882,41,true,0.5058823529411764,22,true,0.6882352941176471,0,false
28,44,44,0.49411764705882355,26,11,7,8,92.8370833889087,0.06818181818181818,81.81818181818181,4,2.5681818181818183,84,0.1,39,true,0.25882352941176473,36,true,0.5117647058823529,13,true,0.5705882352941176,0,false
29,49,49,0.5588235294117647,29,13,7,9,97.67867222530036,0.061224489795918366,83.6734693877551,4,2.5510204081632653,95,0.10588235294117647,47,true,0.24705882352941178,39,true,0.5117647058823529,18,true,0.6705882352941176,0,false
30,46,46,0.5,27,14,5,9,97.9535890149323,0.06521739130434782,82.6086956521739,4,2.5217391304347827,85,0.11176470588235295,44,true,0.2529411764705882,32,true,0.5,13,true,0.5705882352941176,0,false
31,47,47,0.5176470588235295,29,11,7,9,95.26384730862556,0.06382978723404255,82.97872340425532,4,2.5319148936170213,88,0.1,44,true,0.2647058823529412,34,true,0.5117647058823529,7,true,0.5647058823529412,0,false
32,50,50,0.5117647058823529,26,17,7,9,94.67789874419223,0.08,76,5,2.64,87,0.1,50,true,0.2529411764705882,39,true,0.5176470588235295,2,true,0.5529411764705883,0,false
33,48,48,0.5,28,16,4,9,97.64836975680616,0.08333333333333333,75,4,2.5,85,0.1,46,true,0.2529411764705882,31,true,0.5,7,true,0.5705882352941176,0,false
34,46,46,0.5,26,15,5,9,96.96896752818974,0.06521739130434782,82.6086956521739,4,2.5434782608695654,85,0.1,43,true,0.2647058823529412,31,true,0.5117647058823529,12,true,0.6176470588235294,0,false
35,48,48,0.5529411764705883,26,16,6,9,95.63636501219645,0.08333333333333333,75,4,2.5833333333333335,94,0.1,48,true,0.2529411764705882,45,true,0.5,23,true,0.7058823529411765,0,false
36,39,39,0.45294117647058824,23,11,5,9,98.38232686187031,0.07692307692307693,79.48717948717949,4,2.5384615384615383,77,0.1,38,true,0.2529411764705882,29,true,0.5,7,true,0.5764705882352941,0,false
37,45,45,0.5235294117647059,21,17,7,9,94.6424374947184,0.08888888888888889,73.33333333333333,5,2.7111111111111112,89,0.1,42,true,0.24705882352941178,35,true,0.5058823529411764,14,true,0.6647058823529411,0,false
38,49,49,0.5470588235294118,30,10,9,9,94.15838612964168,0.08163265306122448,75.51020408163265,5,2.5918367346938775,93,0.10588235294117647,44,true,0.2529411764705882,37,true,0.5058823529411764,12,true,0.611764705882353,0,false
39,47,47,0.5294117647058824,29,12,6,9,97.14112949818727,0.06382978723404255,82.97872340425532,4,2.5106382978723403,90,0.10588235294117647,49,true,0.25882352941176473,38,true,0.5058823529411764,19,true,0.6588235294117647,0,false
40,50,50,0.5352941176470588,30,11,9,9,97.77751432511704,0.1,68,4,2.58,91,0.10588235294117647,52,true,0.2529411764705882,45,true,0.5058823529411764,19,true,0.6764705882352942,0,false
41,50,50,0.5529411764705883,31,12,7,9,95.84761686461343,0.06,84,4,2.52,94,0.1,46,true,0.2529411764705882,33,true,0.5,6,true,0.5294117647058824,0,false
42,43,43,0.4411764705882353,26,11,6,9,94.9139449709112,0.09302325581395349,72.09302325581396,4,2.5348837209302326,75,0.10588235294117647,41,true,0.24705882352941178,26,true,0.5,5,true,0.5529411764705883,0,false
43,50,50,0.5235294117647059,29,17,4,8,93.23448914191223,0.08,76,4,2.5,89,0.1,49,true,0.25882352941176473,37,true,0.5,14,true,0.5941176470588235,0,false
