index,validMoves,uniqueValidMoves,coverageRatio,twoCellMoves,threeCellMoves,fourPlusMoves,occupiedRegions,spatialDistributionScore,maxCellParticipationRatio,overlapScore,largestMove,averageArea,scorePotential,progress0ClearedRatio,progress0ValidMoves,progress0HasMove,progress1ClearedRatio,progress1ValidMoves,progress1HasMove,progress2ClearedRatio,progress2ValidMoves,progress2HasMove,progress3ClearedRatio,progress3ValidMoves,progress3HasMove
0,58,58,0.5882352941176471,45,11,2,9,97.74929642101074,0.05172413793103448,86.20689655172414,4,2.2586206896551726,100,0.10588235294117647,54,true,0.2529411764705882,46,true,0.5058823529411764,23,true,0.6647058823529411,0,false
1,55,55,0.5823529411764706,36,14,5,9,96.80594315964377,0.07272727272727272,78.18181818181819,4,2.4363636363636365,99,0.10588235294117647,49,true,0.2529411764705882,34,true,0.5117647058823529,12,true,0.5764705882352941,0,false
2,71,71,0.6823529411764706,39,16,16,9,92.45417940118541,0.07042253521126761,77.46478873239437,6,2.7464788732394365,116,0.10588235294117647,69,true,0.2529411764705882,55,true,0.5058823529411764,23,true,0.7,0,false
3,65,65,0.6470588235294118,41,16,8,9,97.68875502676484,0.06153846153846154,81.53846153846153,4,2.4923076923076923,110,0.10588235294117647,59,true,0.2529411764705882,43,true,0.5117647058823529,18,true,0.6588235294117647,0,false
4,48,48,0.5588235294117647,28,13,7,9,97.00399989073415,0.08333333333333333,75,4,2.5625,95,0.1,46,true,0.25882352941176473,36,true,0.5,6,true,0.5352941176470588,0,false
5,60,60,0.6235294117647059,39,12,9,9,94.14051494661192,0.06666666666666667,80,4,2.5,106,0.1,56,true,0.2529411764705882,46,true,0.5058823529411764,15,true,0.6470588235294118,0,false
6,51,51,0.5705882352941176,38,8,5,9,98.34896198892896,0.058823529411764705,84.31372549019608,4,2.3529411764705883,97,0.10588235294117647,50,true,0.25882352941176473,45,true,0.5058823529411764,18,true,0.6529411764705882,0,false
7,60,60,0.5882352941176471,39,16,5,9,96.46687433530126,0.06666666666666667,80,4,2.433333333333333,100,0.1,53,true,0.2529411764705882,45,true,0.5117647058823529,14,true,0.6411764705882353,0,false
8,60,60,0.6352941176470588,33,19,8,9,95.95763717361153,0.06666666666666667,80,5,2.6333333333333333,108,0.11764705882352941,58,true,0.24705882352941178,48,true,0.5117647058823529,22,true,0.7352941176470589,0,false
9,56,56,0.5882352941176471,36,11,9,9,97.37565146197414,0.05357142857142857,85.71428571428572,5,2.5357142857142856,100,0.1,53,true,0.24705882352941178,44,true,0.5,24,true,0.6352941176470588,0,false
10,60,60,0.5647058823529412,42,11,7,9,95.0686836757027,0.06666666666666667,80,5,2.433333333333333,96,0.1,56,true,0.24705882352941178,45,true,0.5,18,true,0.6529411764705882,0,false
11,57,57,0.5941176470588235,35,15,7,9,92.10598249862608,0.07017543859649122,78.94736842105263,5,2.526315789473684,101,0.10588235294117647,58,true,0.2647058823529412,49,true,0.5,18,true,0.6352941176470588,0,false
12,56,56,0.5588235294117647,35,14,7,9,93.23954977302758,0.07142857142857142,78.57142857142857,4,2.5,95,0.1,53,true,0.24705882352941178,44,true,0.5058823529411764,16,true,0.6058823529411764,0,false
13,54,54,0.5470588235294118,38,15,1,9,97.04809338711455,0.05555555555555555,85.18518518518519,4,2.314814814814815,93,0.1,52,true,0.2529411764705882,43,true,0.5,17,true,0.6411764705882353,0,false
14,57,57,0.5882352941176471,34,19,4,9,96.40061602298678,0.05263157894736842,85.96491228070175,5,2.491228070175439,100,0.1,52,true,0.2529411764705882,43,true,0.5058823529411764,22,true,0.7352941176470589,0,false
15,55,55,0.5647058823529412,30,13,12,9,93.54515266927241,0.05454545454545454,85.45454545454545,4,2.672727272727273,96,0.1,49,true,0.2529411764705882,43,true,0.5,18,true,0.6411764705882353,0,false
16,74,74,0.7294117647058823,38,28,8,9,97.97264092411744,0.05405405405405406,83.78378378378378,4,2.5945945945945947,124,0.1,73,true,0.24705882352941178,57,true,0.5,29,true,0.711764705882353,0,false
17,47,47,0.5,30,13,4,9,98.21066481240608,0.06382978723404255,82.97872340425532,4,2.4468085106382977,85,0.10588235294117647,41,true,0.24705882352941178,31,true,0.5,8,true,0.5470588235294118,0,false
