index,validMoves,uniqueValidMoves,coverageRatio,twoCellMoves,threeCellMoves,fourPlusMoves,occupiedRegions,spatialDistributionScore,maxCellParticipationRatio,overlapScore,largestMove,averageArea,scorePotential,progress0ClearedRatio,progress0ValidMoves,progress0HasMove,progress1ClearedRatio,progress1ValidMoves,progress1HasMove,progress2ClearedRatio,progress2ValidMoves,progress2HasMove,progress3ClearedRatio,progress3ValidMoves,progress3HasMove
10,66,66,0.6470588235294118,49,8,9,9,97.9578547838826,0.06060606060606061,81.81818181818181,5,2.4242424242424243,110,0.10588235294117647,65,true,0.2529411764705882,55,true,0.5058823529411764,35,true,0.7411764705882353,0,false
11,62,62,0.6176470588235294,44,14,4,9,97.70993481060931,0.04838709677419355,87.09677419354838,4,2.3548387096774195,105,0.10588235294117647,62,true,0.2529411764705882,50,true,0.5,20,true,0.7,0,false
12,61,61,0.6,41,13,7,9,95.91717857447317,0.06557377049180328,80.32786885245902,4,2.442622950819672,102,0.1,60,true,0.24705882352941178,47,true,0.5117647058823529,15,true,0.6470588235294118,0,false
13,62,62,0.6058823529411764,47,6,9,9,97.92710854128053,0.04838709677419355,87.09677419354838,5,2.435483870967742,103,0.10588235294117647,60,true,0.2529411764705882,51,true,0.5,29,true,0.7176470588235294,0,false
14,64,64,0.6058823529411764,43,13,8,9,98.15702074669956,0.0625,81.25,4,2.453125,103,0.1,59,true,0.24705882352941178,45,true,0.5,17,true,0.6,0,false
15,64,64,0.6176470588235294,46,12,6,9,96.4903426541835,0.0625,81.25,4,2.375,105,0.11176470588235295,62,true,0.2529411764705882,51,true,0.5058823529411764,26,true,0.6764705882352942,0,false
16,65,65,0.6470588235294118,44,19,2,9,95.62808695180001,0.046153846153846156,87.6923076923077,4,2.353846153846154,110,0.1,65,true,0.2529411764705882,62,true,0.5058823529411764,38,true,0.7529411764705882,7,true
17,70,70,0.6882352941176471,50,17,3,9,99.17393071752247,0.05714285714285714,82.85714285714286,5,2.342857142857143,117,0.1,65,true,0.2529411764705882,59,true,0.5,30,true,0.7529411764705882,0,false
18,65,65,0.6647058823529411,47,10,8,9,95.66753178485989,0.046153846153846156,87.6923076923077,5,2.4153846153846152,113,0.10588235294117647,58,true,0.2529411764705882,50,true,0.5,27,true,0.6882352941176471,0,false
19,59,59,0.6235294117647059,46,11,2,9,98.02785153048474,0.05084745762711865,86.44067796610169,4,2.2542372881355934,106,0.10588235294117647,60,true,0.24705882352941178,51,true,0.5,32,true,0.7529411764705882,1,true
20,62,62,0.611764705882353,43,14,5,9,97.55852733576133,0.06451612903225806,80.64516129032258,4,2.3870967741935485,104,0.10588235294117647,63,true,0.24705882352941178,57,true,0.5,29,true,0.7411764705882353,0,false
21,62,62,0.611764705882353,46,9,7,9,94.8226313112004,0.06451612903225806,80.64516129032258,5,2.403225806451613,104,0.10588235294117647,61,true,0.24705882352941178,60,true,0.5,27,true,0.7176470588235294,0,false
22,63,63,0.6235294117647059,43,13,7,9,97.49228764879281,0.06349206349206349,80.95238095238095,6,2.492063492063492,106,0.10588235294117647,60,true,0.24705882352941178,52,true,0.5058823529411764,26,true,0.7470588235294118,0,false
23,61,61,0.6058823529411764,41,16,4,9,98.33133306727231,0.04918032786885246,86.88524590163935,4,2.3934426229508197,103,0.1,60,true,0.24705882352941178,52,true,0.5117647058823529,25,true,0.6588235294117647,0,false
24,64,64,0.6235294117647059,44,10,10,9,92.82430395671797,0.0625,81.25,5,2.515625,106,0.10588235294117647,64,true,0.24705882352941178,51,true,0.5058823529411764,29,true,0.7470588235294118,0,false
25,60,60,0.6352941176470588,45,14,1,9,94.84994769343008,0.05,86.66666666666666,5,2.283333333333333,108,0.10588235294117647,61,true,0.2529411764705882,55,true,0.5117647058823529,27,true,0.6823529411764706,0,false
26,72,72,0.6705882352941176,51,17,4,9,97.25732664419206,0.05555555555555555,83.33333333333334,4,2.3472222222222223,114,0.1,69,true,0.2529411764705882,63,true,0.5058823529411764,37,true,0.7470588235294118,3,true
27,66,66,0.6588235294117647,45,17,4,9,96.46757683548901,0.06060606060606061,81.81818181818181,4,2.378787878787879,112,0.10588235294117647,65,true,0.2529411764705882,60,true,0.5,31,true,0.7411764705882353,0,false
28,63,63,0.6176470588235294,44,9,10,9,96.24006024704886,0.07936507936507936,74.60317460317461,6,2.507936507936508,105,0.10588235294117647,66,true,0.24705882352941178,58,true,0.5058823529411764,40,true,0.7411764705882353,0,false
29,62,62,0.6470588235294118,43,13,6,9,96.31775212833035,0.06451612903225806,80.64516129032258,5,2.4516129032258065,110,0.1,64,true,0.2529411764705882,54,true,0.5,35,true,0.7470588235294118,0,false
30,68,68,0.611764705882353,49,7,12,9,96.91203596019956,0.058823529411764705,82.3529411764706,7,2.5294117647058822,104,0.10588235294117647,64,true,0.24705882352941178,53,true,0.5058823529411764,33,true,0.7176470588235294,0,false
31,76,76,0.6941176470588235,52,16,8,9,98.18182847581983,0.05263157894736842,84.21052631578948,5,2.4342105263157894,118,0.10588235294117647,74,true,0.24705882352941178,64,true,0.5,40,true,0.7529411764705882,12,true
32,66,66,0.6470588235294118,46,12,8,9,95.70790187062536,0.06060606060606061,81.81818181818181,5,2.4696969696969697,110,0.10588235294117647,64,true,0.2529411764705882,50,true,0.5176470588235295,27,true,0.7235294117647059,0,false
33,61,61,0.611764705882353,41,13,7,9,97.33967373656264,0.04918032786885246,86.88524590163935,4,2.442622950819672,104,0.10588235294117647,57,true,0.25882352941176473,53,true,0.5058823529411764,28,true,0.711764705882353,0,false
34,69,69,0.6176470588235294,52,15,2,9,97.6761119669755,0.057971014492753624,82.6086956521739,4,2.2753623188405796,105,0.1,67,true,0.24705882352941178,54,true,0.5176470588235295,32,true,0.7470588235294118,3,true
35,60,60,0.6235294117647059,41,12,7,9,99.10014707052092,0.06666666666666667,80,4,2.433333333333333,106,0.10588235294117647,59,true,0.24705882352941178,50,true,0.5058823529411764,33,true,0.7529411764705882,1,true
36,65,65,0.6411764705882353,47,11,7,9,97.63685347104399,0.07692307692307693,75.38461538461539,5,2.4,109,0.1,57,true,0.2529411764705882,58,true,0.5058823529411764,25,true,0.6705882352941176,0,false
37,60,60,0.6058823529411764,48,8,4,9,96.9666284493529,0.05,86.66666666666666,4,2.2666666666666666,103,0.1,54,true,0.2529411764705882,48,true,0.5058823529411764,21,true,0.6764705882352942,0,false
38,61,61,0.6,43,11,7,9,95.07675018863793,0.06557377049180328,80.32786885245902,4,2.4098360655737703,102,0.1,56,true,0.2529411764705882,46,true,0.5058823529411764,23,true,0.6941176470588235,0,false
39,63,63,0.6,51,9,3,9,95.93967013095768,0.047619047619047616,87.3015873015873,4,2.238095238095238,102,0.10588235294117647,56,true,0.2529411764705882,47,true,0.5,26,true,0.6529411764705882,0,false
40,68,68,0.6764705882352942,48,12,8,9,96.05064945188805,0.058823529411764705,82.3529411764706,4,2.411764705882353,115,0.10588235294117647,64,true,0.24705882352941178,61,true,0.5,28,true,0.7058823529411765,0,false
41,65,65,0.6235294117647059,45,14,6,9,96.0296503228585,0.06153846153846154,81.53846153846153,4,2.4,106,0.10588235294117647,60,true,0.25882352941176473,57,true,0.5058823529411764,35,true,0.7529411764705882,0,false
42,64,64,0.6352941176470588,44,18,2,9,97.26515648047413,0.0625,81.25,4,2.34375,108,0.1,62,true,0.2529411764705882,50,true,0.5058823529411764,19,true,0.6411764705882353,0,false
43,68,68,0.6352941176470588,46,17,5,9,99.33335922703267,0.058823529411764705,82.3529411764706,4,2.3970588235294117,108,0.1,64,true,0.2529411764705882,53,true,0.5,24,true,0.6529411764705882,0,false
44,60,60,0.6,45,8,7,9,96.4334524494308,0.05,86.66666666666666,4,2.3666666666666667,102,0.1,57,true,0.24705882352941178,44,true,0.5058823529411764,18,true,0.6588235294117647,0,false
45,61,61,0.6058823529411764,44,10,7,9,97.73622411616564,0.06557377049180328,80.32786885245902,5,2.4098360655737703,103,0.10588235294117647,56,true,0.2529411764705882,48,true,0.5,20,true,0.6823529411764706,0,false
46,62,62,0.6058823529411764,45,11,6,9,98.72404749973418,0.06451612903225806,80.64516129032258,5,2.403225806451613,103,0.1,58,true,0.25882352941176473,48,true,0.5,20,true,0.6470588235294118,0,false
